Date,Incident_Totals,SMA_30,EMA_30,WMA_30,HMA_30,Short_MA,Long_MA
2023-01-01,15,,15.0,,,,
2023-01-02,22,,18.616666666666667,,,,
2023-01-03,36,,24.80155497963717,,,,
2023-01-04,28,,25.682843137254903,,,,
2023-01-05,23,,25.07243136919651,,,,
2023-01-06,30,,26.036432550513474,,,,
2023-01-07,26,,26.03013130355331,,,,
2023-01-08,28,,26.337501576811228,,,,
2023-01-09,32,,27.146972147691173,,,,
2023-01-10,24,,26.72982317163473,,,26.4,
2023-01-11,23,,26.266910363530783,,,27.2,
2023-01-12,26,,26.235646945024452,,,27.6,
2023-01-13,29,,26.543253174934623,,,26.9,
2023-01-14,27,,26.59180774111054,,,26.8,
2023-01-15,27,,26.633460090715953,,,27.2,
2023-01-16,19,,25.882706081027486,,,26.1,
2023-01-17,22,,25.513337625317604,,,25.7,
2023-01-18,27,,25.650565057076175,,,25.6,
2023-01-19,32,,26.220807384538436,,,25.6,
2023-01-20,28,,26.376654585737374,,,26.0,
2023-01-21,20,,25.830695500366637,,,25.7,
2023-01-22,32,,26.347985593502962,,,26.3,
2023-01-23,24,,26.15484331620479,,,25.8,
2023-01-24,25,,26.061503479277167,,,25.6,
2023-01-25,27,,26.136139944245603,,,25.6,
2023-01-26,26,,26.12547317323112,,,26.3,
2023-01-27,22,,25.806647177072108,,,26.3,
2023-01-28,39,,26.813407182542974,,,27.5,
2023-01-29,25,,26.676642213926534,,,26.8,
2023-01-30,31,26.5,26.99918800433682,26.95268817204301,,27.1,26.5
2023-01-31,30,27.0,27.220828562022284,27.178494623655915,,28.1,27.0
2023-02-01,32,27.333333333333332,27.570551262215112,27.501075268817203,,28.1,27.333333333333332
2023-02-02,22,26.866666666666667,27.16641812661967,27.156989247311827,,27.9,26.866666666666667
2023-02-03,16,26.466666666666665,26.362770165201113,26.455913978494625,28.123082437275986,27.0,26.466666666666665
2023-02-04,30,26.7,26.62260507724618,26.683870967741935,27.662580645161295,27.3,26.7
2023-02-05,26,26.566666666666666,26.57843340693757,26.638709677419357,27.241433691756274,27.3,26.566666666666666
2023-02-06,26,26.566666666666666,26.537657767145856,26.602150537634408,26.87426523297491,27.7,26.566666666666666
2023-02-07,23,26.4,26.289758559703767,26.372043010752687,26.481648745519713,26.1,26.4
2023-02-08,24,26.133333333333333,26.130192039324502,26.21720430107527,26.09720430107527,26.0,26.133333333333333
2023-02-09,25,26.166666666666668,26.051837455009196,26.144086021505377,25.66899641577061,25.4,26.166666666666668
2023-02-10,19,26.033333333333335,25.56528523121742,25.68172043010753,24.90114695340502,24.3,26.033333333333335
2023-02-11,33,26.266666666666666,26.07596660539651,26.131182795698926,24.779677419354837,24.4,26.266666666666666
2023-02-12,26,26.166666666666668,26.07077023566331,26.113978494623655,24.71254480286738,24.8,26.166666666666668
2023-02-13,29,26.233333333333334,26.27036348114736,26.296774193548387,24.919498207885304,26.1,26.233333333333334
2023-02-14,29,26.3,26.45568544745718,26.475268817204302,25.30559139784946,26.0,26.3
2023-02-15,17,26.233333333333334,25.815875175858466,25.8752688172043,25.083763440860213,25.1,26.233333333333334
2023-02-16,32,26.566666666666666,26.23300519700044,26.247311827956988,25.26860215053763,25.7,26.566666666666666
2023-02-17,22,26.4,25.948317337419482,25.95268817204301,25.246057347670252,25.6,26.4
2023-02-18,30,26.333333333333332,26.220066375322624,26.18494623655914,25.528673835125446,26.2,26.333333333333332
2023-02-19,28,26.333333333333332,26.339143515165482,26.29247311827957,25.887992831541222,26.5,26.333333333333332
2023-02-20,16,26.2,25.649102058726893,25.625806451612902,25.604014336917565,26.2,26.2
2023-02-21,18,25.733333333333334,25.13972892099438,25.096774193548388,24.8641935483871,24.7,25.733333333333334
2023-02-22,32,26.0,25.59562517170583,25.501075268817203,24.744014336917566,25.3,26.0
2023-02-23,16,25.7,24.959185875827163,24.855913978494623,24.083225806451612,24.0,25.7
2023-02-24,21,25.5,24.69706337498625,24.55268817204301,23.407132616487456,23.2,25.5
2023-02-25,29,25.6,24.981463647768766,24.778494623655913,23.296451612903226,24.4,25.6
2023-02-26,21,25.566666666666666,24.71872564536618,24.481720430107526,23.022652329749107,23.3,25.566666666666666
2023-02-27,16,24.8,24.144221197499395,23.864516129032257,22.306917562724017,22.7,24.8
2023-02-28,29,24.933333333333334,24.463743847730075,24.135483870967743,22.18508960573477,22.6,24.933333333333334
2023-03-01,19,24.533333333333335,24.10467745657863,23.752688172043012,21.859498207885302,21.7,24.533333333333335
2023-03-02,29,24.5,24.426002133770545,24.040860215053762,22.005627240143372,23.0,24.5
2023-03-03,30,24.433333333333334,24.791464052336295,24.39569892473118,22.597634408602154,24.2,24.433333333333334
2023-03-04,25,24.533333333333335,24.805122481906213,24.43225806451613,23.20727598566308,23.5,24.533333333333335
2023-03-05,24,24.8,24.752441226447445,24.397849462365592,23.640681003584227,24.3,24.8
2023-03-06,30,24.8,25.095488236753823,24.733333333333334,24.374193548387098,25.2,24.8
2023-03-07,24,24.733333333333334,25.023934518396462,24.68172043010753,24.886953405017923,24.7,24.733333333333334
2023-03-08,20,24.533333333333335,24.696050010084324,24.376344086021504,24.956451612903226,24.6,24.533333333333335
2023-03-09,36,24.966666666666665,25.433244820057084,25.116129032258065,25.684731182795698,26.6,24.966666666666665
2023-03-10,23,24.933333333333334,25.27467003068874,24.989247311827956,26.128673835125447,26.0,24.933333333333334
2023-03-11,31,25.133333333333333,25.64754646542982,25.38064516129032,26.764910394265236,27.2,25.133333333333333
2023-03-12,27,25.4,25.73557456675936,25.501075268817203,27.307491039426523,27.0,25.4
2023-03-13,20,24.966666666666665,25.36247241915539,25.15268817204301,27.336379928315417,26.0,24.966666666666665
2023-03-14,26,24.966666666666665,25.403921773751954,25.219354838709677,27.23924731182796,26.1,24.966666666666665
2023-03-15,27,24.9,25.507640225425217,25.350537634408603,27.164157706093185,26.4,24.9
2023-03-16,27,24.833333333333332,25.6045734227627,25.486021505376343,27.09799283154122,26.1,24.833333333333332
2023-03-17,27,25.166666666666668,25.695170944625144,25.625806451612902,27.06114695340502,26.4,25.166666666666668
2023-03-18,23,24.866666666666667,25.52025947820115,25.486021505376343,26.84032258064516,26.7,24.866666666666667
2023-03-19,30,25.133333333333333,25.810875108855875,25.817204301075268,26.87910394265233,26.1,25.133333333333333
2023-03-20,36,25.333333333333332,26.471641427976284,26.518279569892474,27.48516129032258,27.4,25.333333333333332
2023-03-21,22,25.133333333333333,26.181751622841883,26.303225806451614,27.620752688172047,26.5,25.133333333333333
2023-03-22,18,25.2,25.651506572937535,25.843010752688173,27.15645161290323,25.6,25.2
2023-03-23,29,25.566666666666666,25.868453214754908,26.088172043010754,26.917132616487454,26.5,25.566666666666666
2023-03-24,29,25.466666666666665,26.071288614655963,26.309677419354838,26.78189964157706,26.8,25.466666666666665
2023-03-25,20,25.6,25.67814178578575,25.956989247311828,26.25372759856631,26.1,25.6
2023-03-26,28,25.833333333333332,25.828457999490347,26.11182795698925,26.043189964157705,26.2,25.833333333333332
